"","ar_sc","ar_xG","ar_extxG","ar_emp"
"43",TRUE,TRUE,TRUE,TRUE
"44",FALSE,FALSE,FALSE,FALSE
"45",FALSE,TRUE,FALSE,FALSE
"28",FALSE,TRUE,TRUE,FALSE
"29",TRUE,TRUE,TRUE,TRUE
"30",TRUE,TRUE,TRUE,TRUE
"31",FALSE,FALSE,FALSE,FALSE
"32",FALSE,FALSE,FALSE,FALSE
"33",FALSE,TRUE,TRUE,TRUE
"34",TRUE,TRUE,TRUE,FALSE
"35",TRUE,TRUE,TRUE,TRUE
"36",TRUE,TRUE,TRUE,TRUE
"19",FALSE,FALSE,FALSE,FALSE
"20",FALSE,FALSE,FALSE,TRUE
"21",FALSE,FALSE,FALSE,FALSE
"22",TRUE,TRUE,TRUE,TRUE
"23",FALSE,FALSE,TRUE,FALSE
"24",TRUE,TRUE,TRUE,TRUE
"25",FALSE,FALSE,FALSE,FALSE
"26",FALSE,FALSE,FALSE,FALSE
"27",TRUE,TRUE,TRUE,TRUE
"10",FALSE,FALSE,FALSE,FALSE
"11",TRUE,TRUE,TRUE,TRUE
"12",TRUE,TRUE,TRUE,FALSE
"13",FALSE,FALSE,FALSE,FALSE
"14",TRUE,TRUE,TRUE,TRUE
"15",TRUE,TRUE,TRUE,TRUE
"16",TRUE,FALSE,FALSE,FALSE
"17",FALSE,TRUE,TRUE,TRUE
"18",FALSE,TRUE,TRUE,TRUE
"1",FALSE,FALSE,FALSE,FALSE
"2",TRUE,FALSE,FALSE,TRUE
"3",FALSE,FALSE,FALSE,FALSE
"4",TRUE,FALSE,TRUE,TRUE
"5",TRUE,FALSE,TRUE,TRUE
"6",TRUE,TRUE,TRUE,TRUE
"7",FALSE,FALSE,FALSE,TRUE
"8",FALSE,FALSE,FALSE,FALSE
"9",TRUE,TRUE,TRUE,TRUE
